"title","year","imdb","metascore","gross"
"Goodfellas",1990,8.7,90,46836394
"Home Alone",1990,7.6,63,285761243
"Edward Scissorhands",1990,7.9,74,56362352
"Back to the Future Part III",1990,7.4,55,87727583
"The Godfather Part III",1990,7.6,60,66666062
"Die Hard 2",1990,7.2,67,117540947
"Total Recall",1990,7.5,57,119394840
"Pretty Woman",1990,7.0,51,178406268
"Dances with Wolves",1990,8.0,72,184208848
"Ghost",1990,7.1,52,217631306
"Misery",1990,7.8,75,61276872
"The Hunt for Red October",1990,7.6,58,122012643
"Predator 2",1990,6.3,46,30669413
"Kindergarten Cop",1990,6.1,61,91457688
"Rocky V",1990,5.3,55,40946358
"Miller's Crossing",1990,7.7,66,5080409
"Awakenings",1990,7.8,74,52096475
"Tremors",1990,7.1,65,16667084
"Jacob's Ladder",1990,7.5,62,26118851
"Gremlins 2: The New Batch",1990,6.4,-1,41482207
"Teenage Mutant Hero Turtles",1990,6.8,51,135265915
"Wild at Heart",1990,7.2,52,14560247
"RoboCop 2",1990,5.8,42,45681173
"Flatliners",1990,6.6,55,61490000
"Days of Thunder",1990,6.1,60,82670733
"Nikita",1990,7.3,56,5017971
"Arachnophobia",1990,6.4,67,53208180
"Darkman",1990,6.4,65,33878502
"Dick Tracy",1990,6.1,68,103738726
"Cry-Baby",1990,6.5,63,8266343
"Child's Play 2",1990,5.9,37,28501605
"Look Who's Talking Too",1990,4.7,-1,47489074
"The Witches",1990,6.9,78,10360553
"Bird on a Wire",1990,6.0,36,70980000
"Night of the Living Dead",1990,6.9,54,5835247
"The Rescuers Down Under",1990,6.9,70,27931461
"Another 48 Hrs.",1990,5.9,23,80818974
"Presumed Innocent",1990,6.9,72,86303188
"Joe Versus the Volcano",1990,5.8,45,39404261
"A.W.O.L.: Absent Without Leave",1990,6.2,41,24078196
"King of New York",1990,7.0,66,2554476
"Young Guns II: Blaze of Glory",1990,6.5,47,44143410
"Troll 2",1990,2.9,-1,-1
"Mermaids",1990,6.7,56,35419397
"Problem Child",1990,5.5,27,53470900
"Lord of the Flies",1990,6.4,49,13985225
"Hard to Kill",1990,5.8,41,47410000
"Air America",1990,5.8,33,31053601
"Memphis Belle",1990,6.9,-1,27441977
"Pump Up the Volume",1990,7.2,77,11541758
"The Exorcist III",1990,6.4,48,26098824
"The Rookie",1990,5.9,41,21633874
"The Grifters",1990,6.9,86,13446769
"DuckTales the Movie: Treasure of the Lost Lamp",1990,6.9,-1,18115724
"The NeverEnding Story II: The Next Chapter",1990,5.2,-1,17373527
"Dreams",1990,7.8,-1,1963207
"Men at Work",1990,6.0,34,16247964
"3 Men and a Little Lady",1990,5.5,51,71609321
"Green Card",1990,6.2,58,29888235
"Cyrano de Bergerac",1990,7.5,79,15140007
"The Bonfire of the Vanities",1990,5.6,27,15691192
"Hamlet",1990,6.7,53,20710451
"Rosencrantz & Guildenstern Are Dead",1990,7.4,-1,739104
"State of Grace",1990,7.2,60,1911542
"Slacker",1990,7.1,69,1228108
"Marked for Death",1990,6.0,49,46044400
"Nightbreed",1990,6.6,40,8862354
"Quigley Down Under",1990,6.9,51,21413105
"Quick Change",1990,6.8,56,15260154
"The Freshman",1990,6.4,78,21460601
"My Blue Heaven",1990,6.3,35,23591472
"Pacific Heights",1990,6.4,55,29381956
"Days of Being Wild",1990,7.6,96,141864
"Internal Affairs",1990,6.5,63,27734391
"Death Warrant",1990,5.7,34,16853487
"The Adventures of Ford Fairlane",1990,6.5,24,21413502
"Revenge",1990,6.3,35,15650000
"Navy Seals",1990,5.6,38,25069101
"Close-Up",1990,8.3,-1,2670
"Postcards from the Edge",1990,6.7,71,37963281
"Tales from the Darkside",1990,6.3,54,16324573
"Europa Europa",1990,7.6,75,5575738
"Reversal of Fortune",1990,7.2,93,15445131
"The Russia House",1990,6.1,67,22998000
"Leatherface: Texas Chainsaw Massacre III",1990,5.1,30,5765562
"Re-Animator 2",1990,6.3,-1,-1
"I Love You to Death",1990,6.4,45,16186793
"Alice",1990,6.6,67,7331647
"Cadillac Man",1990,5.7,50,27627310
"House Party",1990,6.4,76,26386000
"Hardware",1990,6.0,-1,5728953
"Blue Steel",1990,5.8,54,8220000
"Henry & June",1990,6.3,-1,11567449
"The Sheltering Sky",1990,6.8,-1,2075084
"Mr. Destiny",1990,6.4,-1,15379253
"Captain America",1990,3.2,-1,-1
"Mo' Better Blues",1990,6.6,61,16153600
"The Two Jakes",1990,6.2,56,10005969
